x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
9,12,10,8,9,4,3,5,4,7
9,11,6,2,1,3,1,3,4,3
9,5,3,4,5,7,7,7,7,7
9,9,12,6,7,7,6,5,3,1
9,10,8,10,3,2,5,6,7,7
9,15,17,15,9,10,11,8,9,11
9,9,15,24,32,33,34,31,30,22
9,8,2,7,7,7,7,7,5,4
9,2,2,2,1,2,3,5,3,2
9,10,11,9,12,9,9,13,10,12
9,10,11,6,7,7,4,3,4,2
9,10,13,14,14,14,14,12,13,14
9,9,11,14,8,3,7,7,7,4
9,9,8,17,26,27,26,27,24,32
9,9,9,10,13,9,10,11,9,13
9,10,9,10,13,11,14,13,11,8
9,11,14,14,13,14,13,9,11,13
9,11,14,14,20,21,14,14,14,21
9,10,13,7,5,3,7,7,7,7
9,10,4,5,7,5,3,7,4,7
9,10,13,14,14,8,11,14,12,11
9,10,12,9,11,9,10,13,10,9
9,11,12,14,12,14,14,14,12,10
9,10,13,11,14,7,7,7,5,3
9,10,14,14,14,14,12,13,11,12
9,4,5,6,3,4,7,7,4,2
9,19,20,21,28,28,26,31,33,35
9,9,12,14,14,14,14,11,21,20
9,11,10,19,17,25,27,28,26,23
9,9,8,11,13,11,10,8,11,5
9,9,10,11,9,10,13,14,14,13
9,11,9,9,11,13,14,19,28,28
9,11,10,11,13,11,2,3,1,4
9,16,22,24,23,23,24,26,28,35
9,8,9,11,14,14,11,10,9,13
9,1,7,5,7,5,7,7,7,7
9,10,12,11,13,12,17,14,11,6
9,11,21,21,28,27,28,28,26,27
9,7,4,7,7,5,3,6,4,1
9,21,28,35,32,23,25,22,23,24
9,2,3,2,3,4,2,4,3,5
9,2,4,5,4,5,7,7,5,7
9,9,11,9,3,4,6,7,5,4
9,4,6,5,3,2,2,4,3,1
9,10,12,14,12,9,11,8,10,11
9,9,12,10,12,9,11,9,10,2
9,10,12,10,9,10,11,10,13,7
9,11,9,11,13,12,10,9,12,3
9,10,12,11,5,2,3,1,4,6
9,10,12,14,14,10,2,3,3,5
9,10,9,13,14,20,21,21,21,26
9,11,6,5,7,7,7,7,7,7
9,14,20,19,28,25,26,31,29,31
9,3,2,4,2,3,4,2,4,6
9,10,8,10,13,12,6,4,3,4
9,9,8,9,10,8,11,8,9,8
9,8,12,13,3,2,4,2,4,3
9,8,3,7,7,5,6,7,7,7
9,11,14,12,14,13,14,13,14,12
9,11,13,11,3,2,3,2,2,2
9,1,3,5,4,6,5,2,3,5
9,11,14,21,13,14,12,9,10,9
9,3,2,1,3,5,7,5,4,3
9,9,9,11,8,10,9,13,11,14
9,9,10,11,9,11,12,9,10,12
9,2,1,3,5,7,7,7,7,4
9,10,2,4,3,2,1,3,1,3
9,1,3,1,4,1,2,6,5,6
9,11,10,8,4,3,5,6,4,7
9,14,11,10,14,11,9,9,12,6
9,11,13,9,14,21,21,21,21,28
9,9,18,27,28,35,35,28,26,35
9,12,14,13,14,14,3,7,5,2
9,9,12,14,7,7,4,3,7,7
9,12,1,2,2,3,5,3,1,3
9,8,9,10,8,2,1,2,3,6
9,4,6,7,7,5,2,3,2,1
9,8,9,14,14,14,11,12,9,11
9,10,8,11,8,11,7,5,7,7
9,8,10,14,12,10,9,18,19,21
9,11,8,11,13,10,4,2,3,1
9,12,17,27,26,28,21,20,21,20
9,8,9,8,9,2,5,2,2,5
9,1,2,3,6,7,7,2,4,1
9,5,3,4,6,7,5,2,4,7
9,13,14,11,13,7,6,4,6,7
9,12,13,14,12,14,14,14,12,7
9,10,10,9,11,10,11,19,21,28
9,9,9,19,17,23,32,34,35,34
9,10,12,13,14,12,21,19,21,19
9,12,10,13,12,11,14,14,11,7
9,12,14,12,9,19,20,28,28,28
9,10,12,14,13,12,13,14,21,14
9,8,10,8,2,1,4,3,2,4
9,13,11,13,14,14,14,14,14,13
9,9,10,9,4,2,4,3,6,5
9,10,9,12,10,12,14,21,20,18
9,10,8,9,10,9,9,10,11,14
9,11,19,21,28,28,25,30,31,32
9,10,9,11,9,8,9,10,8,17
9,11,12,9,16,19,21,28,28,19
9,8,11,9,9,8,9,17,20,14
9,11,5,6,7,5,7,6,7,7
9,11,9,9,4,1,3,4,5,2
9,10,11,10,11,16,24,22,26,27
9,11,8,10,9,8,10,13,12,10
9,8,11,13,14,10,13,4,2,4
9,1,3,2,1,2,4,1,3,2
9,12,10,13,11,9,8,9,1,2
9,10,12,14,12,11,14,12,10,8
9,8,11,9,10,9,12,10,8,10
9,9,11,13,14,14,14,14,13,14
9,8,10,5,3,1,2,4,6,4
9,11,8,9,11,13,12,16,24,23
9,13,14,6,4,2,4,5,6,7
9,10,12,10,8,4,7,5,3,4
9,9,11,15,16,22,24,26,28,27
9,8,10,1,2,4,5,4,7,5
9,9,10,11,12,4,3,1,3,1
9,8,10,8,3,5,7,6,7,4
9,11,14,10,11,8,3,5,1,6
9,11,13,10,8,2,3,1,3,2
9,9,11,14,13,21,18,27,35,26
9,8,11,10,12,13,14,14,12,10
9,8,9,1,6,6,7,6,7,7
9,6,7,5,4,3,1,7,5,4
9,9,9,10,11,9,8,9,10,9
9,10,8,3,6,7,7,5,7,7
9,9,11,10,9,11,9,9,11,5
9,11,7,5,7,7,7,7,6,1
9,9,9,10,13,14,11,12,14,13
9,10,12,9,11,14,14,14,14,14
9,10,9,3,1,5,7,4,2,4
9,2,3,2,3,2,2,4,5,3
9,11,20,28,26,32,30,30,27,32
9,10,13,14,10,9,10,2,4,7
9,19,21,21,28,28,28,28,28,28
9,4,6,7,3,2,4,6,3,4
9,9,11,3,1,3,2,3,5,7
9,12,13,12,11,9,11,13,14,12
9,11,10,5,2,1,3,2,1,3
9,8,10,11,13,5,6,3,3,4
9,11,10,11,6,7,2,5,7,7
9,8,9,12,21,11,13,12,13,10
9,9,10,9,11,9,10,13,14,14
9,11,13,12,4,5,6,5,3,5
9,12,14,12,9,8,9,13,14,14
9,10,13,5,3,5,6,1,6,4
9,10,5,7,6,7,7,5,6,7
9,9,17,19,24,22,25,27,35,35
9,8,10,8,10,12,7,7,6,3
9,11,14,14,5,2,4,5,3,7
9,8,12,14,2,3,2,2,3,4
9,12,14,13,11,14,19,20,14,12
9,6,7,4,5,2,3,4,1,3
9,9,2,4,1,3,5,4,3,5
9,9,10,9,9,8,12,13,10,12
9,11,10,14,14,7,7,7,7,6
9,9,11,15,18,24,28,26,24,23
9,8,10,19,21,15,11,6,4,7
9,8,9,8,10,8,10,13,14,4
9,1,3,5,7,6,4,3,6,7
9,9,11,9,13,14,14,14,13,11
9,10,12,10,11,12,10,9,10,9
9,11,10,13,14,20,21,20,25,35
9,9,11,16,15,17,23,22,24,33
9,8,9,11,14,14,13,14,14,12
9,9,11,8,10,4,5,6,2,3
9,4,5,7,7,7,5,7,7,4
9,12,10,11,13,11,10,1,4,7
9,10,14,14,12,11,9,10,8,10
9,3,4,6,7,7,5,1,3,3
9,9,10,9,9,19,17,15,17,9
9,8,10,14,14,14,10,8,10,11
9,11,8,9,9,10,12,13,10,8
9,11,6,7,7,4,6,5,4,2
9,3,4,1,4,7,7,6,4,1
9,3,7,6,7,7,7,5,6,7
9,16,23,26,25,26,26,28,35,31
9,11,6,7,5,4,2,3,2,1
9,9,4,3,4,3,4,2,3,7
9,10,11,21,14,21,12,3,4,3
9,10,15,24,22,24,23,24,29,30
9,10,11,15,17,22,23,26,28,21
9,4,5,7,7,4,5,3,6,7
9,13,11,6,3,1,2,2,3,5
