UB_bar,CI,time,Gap,UB_bar,CI,time,Gap,UB_bar,CI,time,Gap
2333.37,180.31,269.68,200.80%,2333.62,180.38,1624.59,200.83%,7015.46,1143.26,4.21,804.38%
4440.41,314.50,282.67,186.57%,4440.39,314.51,2328.68,186.57%,13174.82,2009.98,6.77,750.26%
6942.63,509.68,301.93,198.95%,6943.24,509.79,3004.19,198.98%,19584.82,2692.96,10.30,743.32%
2490.31,278.27,291.10,154.87%,2490.18,278.26,2862.97,154.86%,7053.26,1143.83,7.83,621.87%
4471.15,335.79,357.81,176.77%,4470.92,335.78,4936.60,176.76%,13242.86,2009.08,17.11,719.76%
7148.76,633.26,350.09,176.54%,7149.89,633.30,6130.73,176.59%,19744.29,2724.49,31.45,663.79%
2393.83,216.69,395.43,178.31%,2394.08,216.70,3894.24,178.34%,7054.97,1144.17,13.76,720.22%
4454.36,319.36,426.58,188.01%,4454.17,319.35,5944.89,188.00%,13245.42,2009.77,31.65,756.44%
7012.40,532.57,389.18,192.77%,7013.29,532.65,7441.00,192.81%,19743.99,2724.87,62.97,724.31%
4696.86,423.90,990.69,308.58%,7349.11,181.66,655.69,539.30%,9008.89,1282.18,9.43,683.68%
8839.00,670.49,937.68,286.04%,13933.37,340.05,886.40,508.53%,16932.93,2236.03,15.59,639.53%
13773.02,1156.63,1149.39,305.30%,20813.01,503.96,1047.21,512.47%,25784.98,3342.88,24.37,658.78%
4783.55,475.90,1047.17,259.42%,7362.41,277.68,748.56,453.19%,9030.75,1303.43,18.93,578.55%
8812.41,676.11,1261.63,280.69%,13922.80,346.65,1119.26,501.45%,16920.49,2233.02,40.74,630.95%
13840.24,1209.13,1038.13,284.14%,20851.20,597.72,1346.35,478.74%,25790.33,3351.70,74.14,615.82%
4742.91,447.86,1421.52,285.22%,7339.79,220.86,923.35,496.14%,9043.80,1304.17,34.09,634.54%
8855.21,682.44,1418.54,290.29%,13981.64,351.88,1523.87,516.24%,16941.19,2234.26,85.30,646.68%
13813.02,1174.42,1416.75,301.25%,20856.74,530.58,2296.02,505.86%,25813.97,3353.10,164.31,649.86%
9130.21,1412.26,1494.01,322.02%,9553.51,940.09,635.30,341.59%,10032.96,1397.54,10.51,363.75%
17223.85,2440.65,2292.23,305.57%,17948.61,1401.07,774.83,322.64%,18921.42,2392.37,15.67,345.55%
25589.33,3675.81,2419.88,323.72%,26649.21,2297.14,1033.55,341.27%,28465.84,3561.99,26.40,371.35%
8978.55,1422.53,1814.95,306.86%,9392.60,960.44,805.39,325.62%,9849.95,1395.57,20.76,346.34%
16893.07,2434.97,3067.77,325.17%,17603.28,1402.02,1128.86,343.04%,18564.48,2388.98,44.09,367.24%
25166.01,3681.05,2267.39,332.38%,26155.27,2300.44,1210.80,349.37%,27992.50,3557.89,80.53,380.94%
9106.33,1477.99,3678.81,308.68%,9518.79,1032.71,925.95,327.19%,9905.71,1401.51,30.04,344.56%
17113.32,2526.51,3859.10,318.66%,17778.34,1534.64,1338.55,334.93%,18638.58,2397.41,85.52,355.98%
25217.53,3698.00,4061.64,330.59%,26260.81,2351.03,1480.29,348.40%,28066.72,3570.47,158.72,379.24%
