x1,x2,x3,x4
0,0,0,249.63
0,14.76,19.83,205.58
0,20.77,26.14,178.3
0,22.66,26.74,167.85
163.07,10.91,21.58,68.75
175.08,28.68,16.46,54.86
190.76,31.12,22.18,40.58
195.77,32.9,22.26,33.08
200.02,33.69,21.9,31.7
204.91,34.15,21.74,30.66
0,0,0,1180.35
680.83,129.38,90.38,250.75
1169.41,4.54,2.14,20.44
1181.06,3.26,0.69,14.23
1197.35,0.37,0.55,8.61
1199.49,0.12,0.5,7.98
1199.49,1.3,0.35,7.45
1210.36,0.08,0.04,4.37
1210.57,0.08,0.03,4.32
1210.57,0,0.02,3.21
0,0,0,1297.37
1173.99,3.63,8.44,69.7
1210.36,0.09,0.82,52.14
1217.58,0.01,0.19,48.59
1218.24,0,0.14,48.09
1218.24,0,0.14,47.41
1218.24,0,0,46.58
1218.24,0,0,46.58
1220.43,0,0,45.82
1220.43,0,0,45.82
