x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
89,81,116,140,119,98,132,121,110,132,154,77,55,77,22,33,66,55,77,77,55,77,77,77,77,77,77,44,44,11,44,55
89,79,146,136,148,149,128,195,306,274,297,308,308,374,352,330,341,352,330,352,363,407,418,319,341,319,330,341,330,253,385,363
89,101,80,103,149,205,307,308,275,297,275,242,297,286,264,330,407,352,363,374,385,440,462,462,440,407,429,396,407,363,253,253
89,101,146,136,115,95,107,42,32,44,33,33,77,77,55,77,77,77,77,22,33,55,33,11,33,55,22,44,11,33,11,22
89,134,91,114,138,150,152,153,143,154,99,110,99,110,44,33,22,11,33,55,77,77,55,66,77,55,33,55,33,11,33,55
89,80,94,97,98,154,231,198,297,275,242,330,330,418,330,330,330,253,286,275,308,308,308,385,374,341,385,385,363,253,198,308
89,136,149,128,107,152,76,77,66,77,44,55,44,11,22,55,77,22,44,33,44,33,11,33,11,44,77,77,77,66,11,44
89,168,159,172,239,328,340,330,286,308,308,308,308,308,297,286,374,352,330,330,319,341,330,407,330,352,385,308,286,253,275,286
89,101,14,38,73,75,76,77,55,66,55,77,11,33,22,66,55,33,77,55,77,77,55,22,44,66,77,77,44,11,33,55
89,79,103,82,139,152,153,110,110,143,154,154,143,154,154,154,231,231,231,154,143,121,143,154,154,154,143,154,231,198,187,198
89,113,114,106,141,153,154,154,154,132,154,154,154,154,154,154,154,132,110,121,143,198,231,176,264,363,341,242,264,198,220,308
89,91,147,116,97,120,44,77,44,77,77,77,77,77,77,77,77,77,77,55,22,44,33,66,77,55,77,77,77,77,44,22
89,13,26,16,28,62,42,10,22,22,22,33,11,55,77,55,77,77,66,44,66,55,77,44,77,55,77,77,66,44,11,33
89,189,234,257,281,239,262,318,275,242,253,253,275,286,297,264,363,385,308,297,308,308,363,308,308,308,286,275,297,319,341,330
89,101,124,147,95,97,32,11,55,44,55,33,22,22,55,77,55,33,22,11,33,22,33,55,33,22,11,33,22,33,11,22
89,90,113,92,28,8,42,32,44,22,11,33,44,33,22,44,77,77,66,55,77,77,44,77,77,66,77,77,66,77,55,44
89,37,27,50,8,42,10,22,44,66,77,66,77,77,77,77,77,66,77,66,22,55,77,77,44,22,22,33,22,55,33,22
89,112,58,72,73,52,75,54,33,66,77,77,66,77,44,77,44,77,55,66,44,66,22,11,22,11,33,66,55,77,66,77
89,146,126,105,96,141,153,154,154,154,154,154,132,154,77,77,77,55,22,44,33,22,44,33,22,33,44,66,55,66,77,77
89,124,82,94,118,152,131,154,154,121,143,121,99,132,110,132,143,110,132,110,121,99,110,88,99,143,44,66,77,77,77,77
89,46,69,71,40,74,65,77,66,44,66,77,44,22,11,33,44,55,22,44,22,55,77,66,44,22,22,33,22,11,33,33
89,2,27,8,42,65,33,11,33,77,44,66,55,22,44,33,55,77,44,11,22,44,22,44,33,44,22,66,55,77,77,44
89,13,36,4,27,18,8,31,21,11,44,22,55,33,66,44,55,77,77,55,77,77,77,77,77,55,44,66,33,77,55,77
89,90,181,193,172,207,153,143,154,154,132,33,55,22,11,33,66,33,44,22,22,33,44,66,77,77,66,77,77,44,33,11
89,101,81,93,83,117,140,76,77,66,22,55,77,77,55,77,44,55,66,77,77,44,66,44,22,44,66,44,33,55,77,22
89,123,137,118,130,153,132,143,154,132,154,143,121,143,132,110,99,99,88,110,88,121,110,121,154,143,154,154,132,154,154,154
89,189,169,183,250,273,296,385,363,308,385,374,385,385,308,308,286,264,330,363,341,330,341,297,220,198,253,264,352,363,330,363
89,79,36,15,49,72,64,43,33,44,22,33,11,33,55,66,44,33,44,33,11,33,77,77,77,66,77,77,66,44,55,77
89,156,223,279,335,314,337,349,284,252,286,385,308,297,308,286,330,352,341,330,319,264,308,275,297,286,352,341,352,374,363,385
89,167,179,180,126,149,150,129,152,54,66,77,22,11,33,44,33,55,77,33,22,44,66,77,66,55,66,55,77,77,77,77
89,190,248,304,305,295,263,275,220,187,253,198,198,176,187,165,176,198,220,198,110,121,55,44,66,33,55,66,44,33,44,22
89,223,203,194,207,175,165,187,198,154,132,110,143,132,121,99,165,187,176,187,99,110,121,99,88,154,154,154,143,132,99,55
89,46,59,6,29,63,53,32,22,22,77,77,77,55,44,66,77,55,77,77,77,55,77,77,77,66,33,22,55,33,44,11
89,123,103,115,84,97,21,33,11,44,22,11,33,44,22,55,77,66,33,44,55,33,44,11,44,22,44,33,44,66,33,11
89,79,103,105,129,153,121,110,132,143,55,77,55,77,44,77,66,11,33,11,33,44,77,55,44,22,44,22,11,22,22,44
89,79,115,105,130,120,110,121,110,132,154,154,143,121,11,33,11,22,55,33,22,44,55,66,77,66,77,77,77,77,77,66
89,156,256,160,172,195,86,142,154,132,154,143,231,154,132,143,110,143,154,143,154,154,154,209,187,220,187,99,110,132,121,88
89,35,16,29,74,65,77,77,44,66,77,55,44,66,44,11,44,66,77,55,77,77,66,77,77,44,22,33,44,22,55,77
89,24,59,51,30,20,21,11,33,77,77,55,77,77,55,66,44,33,44,66,33,11,33,55,33,22,33,55,77,44,44,33
89,101,81,115,105,128,141,120,33,44,55,77,44,22,22,33,22,22,33,44,22,44,77,77,77,77,55,77,55,44,66,77
89,101,113,82,118,141,153,132,110,132,99,88,121,132,154,121,99,55,77,55,33,55,77,44,77,77,77,22,11,22,55,77
89,36,4,29,53,32,77,77,77,55,66,44,66,77,77,77,66,77,77,66,77,77,77,66,55,77,77,77,77,22,55,77
89,146,137,149,117,96,141,153,209,220,231,231,231,220,154,121,99,44,66,33,55,77,66,44,11,33,33,55,77,77,77,77
89,112,92,126,149,151,131,154,132,121,99,88,121,88,110,187,143,121,154,154,154,77,55,44,44,33,55,77,77,77,66,77
89,135,127,84,96,98,110,88,99,99,110,121,154,154,143,132,154,132,154,132,110,143,121,110,132,110,88,121,110,154,143,121
89,102,148,149,140,152,153,143,154,154,198,220,264,352,374,352,374,385,275,319,253,330,330,352,363,330,341,385,385,308,308,385
89,123,114,105,129,152,142,132,143,132,110,99,110,99,99,88,110,121,154,77,55,77,44,66,77,77,22,33,22,44,33,22
89,222,289,346,325,359,305,295,252,341,253,264,253,187,198,176,275,242,275,264,275,253,275,286,264,253,330,319,330,363,352,385
89,112,91,105,173,164,110,44,22,44,33,44,77,66,77,44,11,22,11,33,22,22,33,77,55,33,55,22,11,66,77,77
89,124,103,137,149,128,98,110,88,132,99,88,110,132,143,154,143,154,143,55,77,44,77,77,55,66,77,55,77,77,77,77
89,113,136,115,149,117,141,131,231,209,231,231,209,231,231,231,220,275,385,385,352,462,451,385,330,319,330,352,330,341,286,374
89,79,92,93,94,117,96,119,109,66,55,77,55,33,22,44,11,22,44,11,33,55,44,33,55,77,55,77,66,33,55,22
89,123,146,59,71,72,73,43,66,44,33,44,77,44,55,77,77,55,66,44,33,22,55,77,77,77,66,22,66,77,77,77
89,112,81,93,94,117,86,153,132,121,220,286,187,286,264,242,264,253,275,253,275,341,374,352,352,374,385,352,374,385,385,385
89,35,69,70,49,39,62,74,31,21,11,44,55,33,44,22,11,33,44,33,44,33,22,44,77,66,33,11,22,44,66,55
89,79,27,39,73,19,32,22,55,44,77,55,22,55,22,11,55,33,22,22,44,55,77,66,22,44,22,44,11,33,11,66
89,80,148,50,73,41,31,21,11,44,11,22,33,55,77,44,55,33,22,44,33,11,44,66,77,33,11,22,11,77,77,55
89,101,91,104,204,172,241,187,220,110,99,22,66,77,77,77,77,55,77,55,44,22,11,44,11,22,33,55,77,44,55,22
89,123,103,128,152,120,99,121,110,88,121,121,99,44,66,44,77,55,77,66,22,55,33,44,11,66,33,44,33,55,77,77
89,113,103,116,129,153,132,121,154,44,11,44,11,22,22,22,33,55,33,33,55,77,77,55,22,33,55,66,55,77,55,66
89,90,168,180,94,173,196,219,231,286,275,242,330,363,385,385,352,385,385,385,385,385,363,253,253,330,341,363,341,341,330,352
89,101,81,127,73,63,31,76,77,77,77,77,77,77,77,55,44,33,55,44,55,77,55,22,22,55,33,55,66,77,66,33
89,35,5,29,53,76,77,77,66,55,22,33,22,44,22,44,55,44,66,33,55,33,22,66,77,44,77,44,33,55,22,44
89,90,113,136,126,105,84,96,130,43,22,11,66,77,77,55,77,77,77,66,55,33,11,77,66,55,77,55,22,11,44,22
89,90,91,81,94,73,75,21,44,33,22,55,22,33,55,44,77,77,77,66,44,55,77,77,77,77,66,33,22,66,77,55
89,90,113,92,83,141,131,121,99,121,99,132,154,99,88,99,187,220,231,220,308,275,253,242,330,407,429,374,319,286,341,363
89,92,83,107,152,131,99,121,110,132,110,121,88,22,44,66,77,77,77,77,77,66,44,11,44,77,55,77,55,33,44,77
89,35,60,73,74,76,77,55,77,77,77,11,44,22,22,11,55,77,77,66,77,77,66,33,33,22,44,66,77,44,11,22
89,101,125,104,204,238,349,328,241,264,275,297,308,286,275,242,275,308,385,385,352,319,341,385,374,319,352,385,374,385,374,385
89,123,103,115,150,153,55,66,44,11,22,44,33,44,77,77,55,33,55,22,44,66,77,77,66,44,22,11,33,11,33,66
89,103,82,116,150,151,141,153,132,143,110,121,143,154,154,44,55,33,22,11,44,22,33,66,77,77,77,77,44,33,22,11
89,156,256,235,259,359,339,318,341,330,341,352,385,308,308,308,363,341,363,352,374,341,352,330,363,308,231,231,209,308,286,308
89,24,58,37,5,29,63,53,76,44,11,55,77,77,55,22,44,77,77,77,55,77,66,77,77,33,11,33,77,77,77,77
89,112,146,59,27,51,41,76,77,77,55,44,77,77,55,77,77,44,66,77,77,77,66,77,77,66,77,33,11,33,66,44
89,101,135,225,215,227,195,295,263,253,275,330,253,264,242,264,253,319,341,352,341,341,352,385,385,385,330,319,253,242,264,275
89,25,38,19,43,66,77,66,44,22,22,11,44,22,33,55,77,77,55,44,22,11,33,55,44,66,77,77,77,66,77,11
89,80,114,29,19,21,55,22,77,55,22,66,77,33,55,77,44,11,22,22,44,66,77,22,33,22,33,22,55,77,55,66
89,124,147,149,151,152,54,77,77,44,22,33,44,22,44,33,55,33,22,33,22,33,22,22,55,77,77,55,77,77,44,22
89,81,104,193,162,185,186,176,176,176,198,176,176,253,242,341,352,253,165,110,121,110,209,308,308,308,385,352,253,341,352,242
89,46,58,48,71,40,30,42,76,77,77,77,55,77,77,44,77,77,77,77,44,33,44,55,33,66,55,77,55,22,22,33
89,124,27,18,20,32,44,77,66,33,77,77,55,33,11,66,77,22,44,55,77,77,77,66,77,66,77,55,44,66,77,44
89,80,104,62,41,65,77,77,77,77,77,77,77,77,77,77,77,77,77,55,22,11,33,77,55,33,55,77,66,55,77,77
89,79,91,103,105,85,97,87,110,99,99,99,110,143,154,154,132,187,231,220,220,176,264,374,385,385,286,341,363,264,330,352
89,113,170,270,293,305,295,307,275,209,99,88,99,121,66,33,22,22,55,33,11,33,44,11,33,77,44,55,77,55,22,44
89,123,146,125,71,17,30,20,21,55,33,55,33,44,11,55,77,77,55,44,22,11,22,44,55,77,77,66,55,77,77,77
89,124,147,127,95,118,152,153,154,121,154,132,154,77,77,77,77,44,33,55,77,44,55,33,55,77,66,77,77,55,11,44
89,80,202,192,216,229,230,275,308,352,385,352,330,330,330,319,341,319,352,319,275,242,253,275,385,385,374,275,253,253,297,308
89,90,92,61,75,32,44,22,33,66,55,44,33,22,22,33,33,22,22,44,77,77,77,77,66,77,77,66,77,77,66,77
89,102,103,95,162,196,241,330,352,330,352,440,429,396,341,330,330,286,264,253,242,341,319,341,275,242,275,275,253,242,352,330
89,178,191,214,183,162,119,109,121,143,55,77,55,77,77,77,66,77,77,77,55,33,55,22,11,11,22,44,11,22,11,55
89,135,191,182,194,129,97,109,88,88,187,242,363,341,242,253,187,143,154,143,11,44,55,33,77,22,55,44,66,44,66,77
89,112,103,82,127,118,98,88,110,99,110,66,77,44,22,33,11,33,55,33,55,66,77,77,77,66,77,66,44,66,44,44
89,112,146,147,149,150,141,120,55,22,44,77,55,33,44,11,33,77,55,66,77,66,77,77,77,55,33,11,33,11,33,55
89,190,257,280,237,326,360,339,329,429,341,363,308,385,363,341,363,352,385,308,352,352,286,297,275,374,363,385,363,385,374,319
89,102,93,83,119,76,77,77,66,77,77,55,22,22,33,22,22,22,66,77,55,77,77,44,33,44,66,77,55,22,44,11
89,35,25,15,6,19,10,33,11,44,22,22,44,22,11,33,11,22,66,77,77,55,33,66,77,77,44,33,22,44,66,77
89,91,92,170,194,261,251,252,264,374,385,385,363,462,462,462,374,308,297,385,374,341,374,352,385,308,264,242,264,253,242,264
89,90,91,81,170,182,206,230,231,209,198,220,209,187,253,286,385,385,363,385,385,385,385,363,374,385,385,363,374,352,341,330
89,123,146,70,51,75,76,22,44,66,55,77,77,77,77,77,77,44,55,33,55,44,11,44,22,11,22,44,33,44,55,22
89,123,69,71,39,18,42,32,44,22,22,11,44,77,66,44,22,33,11,66,55,33,44,22,44,66,77,77,77,77,44,66
89,102,81,94,40,10,55,22,11,33,44,55,66,55,33,55,66,77,77,66,77,66,77,44,33,22,11,33,77,22,33,44
89,112,135,147,148,150,141,109,154,132,154,154,121,154,143,154,154,132,121,99,198,264,319,385,385,363,352,297,308,363,385,374
89,79,104,116,150,120,88,198,187,176,275,297,308,242,253,264,264,286,275,308,385,374,308,374,385,363,385,297,385,363,275,253
89,90,80,48,60,52,31,54,66,11,44,22,55,44,33,44,77,66,77,55,44,33,44,33,33,44,22,11,66,22,22,33
89,102,138,150,140,153,55,77,44,77,33,66,55,77,77,66,77,66,55,66,77,66,77,77,77,44,66,44,77,55,77,55
89,24,36,71,50,30,43,77,66,77,66,33,11,44,22,22,66,33,44,22,22,22,44,66,77,66,44,55,33,44,66,33
89,91,105,128,152,153,66,77,66,55,33,77,66,77,66,11,33,55,77,77,77,77,77,77,55,77,77,22,11,22,55,33
89,79,16,6,29,53,32,77,33,22,55,33,11,44,66,77,33,66,44,22,33,44,66,11,22,55,33,44,55,33,11,22
89,101,168,192,149,194,107,120,99,110,22,22,33,11,44,33,22,33,55,77,55,44,55,66,77,77,77,66,55,77,77,77
89,90,91,103,93,84,185,208,231,143,132,110,121,88,88,44,66,55,77,22,11,22,44,77,44,22,22,44,55,66,77,77
89,91,126,140,152,76,66,11,44,55,44,22,22,33,33,22,22,55,66,77,77,77,33,44,66,77,77,55,77,77,66,77
89,113,169,280,381,393,339,318,341,319,341,385,363,385,385,385,286,297,308,308,308,231,220,187,176,209,231,231,209,231,308,385
89,91,170,182,183,96,119,98,99,88,22,44,33,11,44,22,44,33,11,22,44,22,11,33,55,77,77,66,22,44,22,33
89,112,146,15,27,50,42,65,77,77,77,66,55,33,66,77,77,55,33,77,22,11,55,77,55,22,22,66,77,77,77,77
89,191,225,304,272,328,351,264,286,308,308,308,308,253,275,363,341,319,275,253,363,308,286,275,264,341,330,341,363,330,341,330
89,101,191,216,129,141,76,77,77,77,77,66,44,66,33,55,33,44,11,33,55,33,55,44,22,22,44,66,77,77,77,77
89,123,91,93,204,227,230,220,264,308,374,341,352,341,253,275,253,242,264,319,330,319,352,341,374,275,319,330,341,352,363,352
89,101,126,105,95,30,20,65,77,77,55,22,77,77,77,55,33,55,22,22,33,22,33,44,77,11,33,44,33,22,22,44
89,91,92,93,84,98,121,154,154,143,121,110,165,264,363,385,363,352,451,429,374,385,352,374,363,374,385,385,385,363,374,363
89,15,60,73,63,43,55,66,77,44,33,22,33,66,44,33,55,77,55,33,22,66,77,66,77,77,77,77,11,22,44,77
89,101,5,40,52,75,76,77,77,55,44,33,44,22,22,55,22,33,22,33,66,55,66,77,55,77,66,77,77,77,55,44
89,113,92,115,127,107,153,154,154,143,121,88,121,99,99,99,154,154,121,209,110,132,110,209,308,297,231,209,220,154,121,99
89,91,126,94,106,96,108,131,99,11,22,33,66,77,77,77,55,44,11,33,22,55,33,22,22,44,22,44,77,77,77,55
89,101,91,148,149,151,131,154,143,154,154,154,154,88,121,88,110,99,176,187,198,209,231,231,231,308,385,385,374,385,374,308
89,102,136,148,127,119,109,88,110,110,88,55,44,22,11,33,66,77,77,55,33,22,55,77,77,77,66,44,11,22,55,77
89,79,124,114,105,139,130,109,99,110,132,154,231,220,308,308,286,198,231,286,308,385,363,319,330,319,352,385,363,330,341,363
89,112,102,15,5,41,75,54,66,33,11,33,33,11,33,44,11,22,55,22,55,66,44,33,11,33,55,44,77,44,44,55
89,3,37,62,41,32,55,77,77,77,77,77,77,55,77,66,77,77,77,55,77,55,77,77,77,77,55,77,77,22,11,33
89,123,103,115,127,151,42,21,44,11,33,55,77,55,66,44,77,77,66,33,44,22,55,66,77,77,77,77,77,77,66,77
89,91,136,126,149,139,107,86,32,22,44,22,22,33,44,22,44,55,11,44,33,55,33,66,55,22,55,33,44,77,77,66
89,112,91,92,116,150,129,108,120,110,121,99,121,99,110,143,154,121,143,154,77,66,77,77,77,77,66,22,66,33,66,44
