x1,x2,x3,x4,x5,x6,x7,x8
65,83,76,110,111,104,112,112
65,83,76,110,111,112,112,96
65,83,76,110,111,104,32,56
65,83,76,110,111,104,80,72
65,83,76,110,111,112,112,112
65,83,76,110,111,112,112,104
65,83,76,110,111,112,104,88
65,83,76,110,111,112,152,168
65,83,76,110,111,112,112,88
65,83,76,110,111,112,104,56
65,83,76,110,111,112,112,152
65,83,76,110,111,112,96,88
65,83,76,110,111,88,104,112
65,83,76,110,111,104,112,112
65,83,76,110,111,112,112,96
65,83,76,110,111,96,80,40
65,83,76,110,111,96,56,32
65,83,76,110,111,112,104,88
65,83,76,110,111,96,136,144
65,83,76,110,111,168,168,152
65,83,76,110,111,56,56,56
65,83,76,110,111,96,104,80
65,83,76,110,111,96,112,104
65,83,76,110,111,104,112,112
65,83,76,110,111,112,112,80
65,83,76,110,111,56,32,16
65,83,76,110,111,112,96,88
65,83,76,110,111,112,104,88
65,83,76,110,111,72,64,112
65,83,76,110,111,48,56,8
65,83,76,110,111,112,96,112
65,83,76,110,111,112,112,168
65,83,76,110,111,88,112,96
65,83,76,110,111,112,96,72
65,83,76,110,111,88,80,104
65,83,76,110,111,112,88,96
65,83,76,110,111,112,96,64
65,83,76,110,111,96,104,88
65,83,76,110,111,112,96,72
65,83,76,110,111,72,88,104
65,83,76,110,111,160,168,88
65,83,76,110,111,96,160,200
65,83,76,110,111,112,152,136
65,83,76,110,111,72,128,80
65,83,76,110,111,96,72,72
65,83,76,110,111,112,112,104
65,83,76,110,111,88,80,16
65,83,76,110,111,112,104,72
65,83,76,110,111,96,104,112
65,83,76,110,111,56,40,24
65,83,76,110,111,112,32,40
65,83,76,110,111,112,96,104
65,83,76,110,111,72,80,96
65,83,76,110,111,112,96,32
65,83,76,110,111,96,112,56
65,83,76,110,111,112,96,88
65,83,76,110,111,112,56,56
65,83,76,110,111,168,168,88
65,83,76,110,111,96,112,112
65,83,76,110,111,88,72,16
65,83,76,110,111,104,96,112
65,83,76,110,111,104,32,16
65,83,76,110,111,112,168,152
65,83,76,110,111,96,112,96
65,83,76,110,111,112,104,112
65,83,76,110,111,104,112,96
65,83,76,110,111,112,112,56
65,83,76,110,111,96,112,112
65,83,76,110,111,112,112,96
65,83,76,110,111,96,80,96
65,83,76,110,111,112,112,112
65,83,76,110,111,112,112,104
65,83,76,110,111,96,104,112
65,83,76,110,111,104,96,112
65,83,76,110,111,168,152,168
65,83,76,110,111,112,48,56
65,83,76,110,111,96,104,88
65,83,76,110,111,96,72,72
65,83,76,110,111,96,72,80
65,83,76,110,111,96,112,112
65,83,76,110,111,96,80,64
65,83,76,110,111,112,112,112
65,83,76,110,111,112,96,104
65,83,76,110,111,56,40,16
65,83,76,110,111,112,88,96
65,83,76,110,111,104,112,112
65,83,76,110,111,112,160,144
65,83,76,110,111,96,80,104
65,83,76,110,111,112,152,224
65,83,76,110,111,112,112,112
65,83,76,110,111,96,112,112
65,83,76,110,111,88,72,32
65,83,76,110,111,112,112,112
65,83,76,110,111,112,72,104
65,83,76,110,111,88,72,64
65,83,76,110,111,104,112,112
65,83,76,110,111,112,112,112
65,83,76,110,111,112,48,40
65,83,76,110,111,56,48,16
65,83,76,110,111,168,152,144
