UB_bar,CI,time,Gap,UB_bar,CI,time,Gap,UB_bar,CI,time,Gap
496.55,65.66,950.83,0.00%,496.55,65.66,1828.8,0.00%,15106.07,3057.67,3.26,2942.20%
1001.85,126.01,1070.06,0.00%,1001.85,126.01,2981.48,0.00%,30341.73,5912.77,4.25,2928.56%
1494.69,187.17,1145.96,0.00%,1494.69,187.17,3830.38,0.00%,43727.69,8252.1,5.56,2825.53%
480.03,63.03,2056.33,0.00%,1001.85,126.01,4657.99,108.71%,30341.73,5912.77,6.29,6220.76%
976.82,122.51,2518.16,0.00%,976.82,122.51,11257.16,0.00%,29273.03,5691.5,8.26,2896.77%
1466.41,183.57,2261.39,0.00%,1466.41,183.57,14419.96,0.00%,47311.64,9027.15,9.96,3126.35%
479.99,63.02,2301.61,0.00%,479.99,63.02,9708.9,0.00%,15352.76,3075.57,9.5,3098.58%
976.76,122.51,2200.61,0.00%,976.76,122.51,15670.59,0.00%,29938.36,5856.8,11.22,2965.07%
1466.35,183.56,2870.88,0.00%,1466.35,183.56,19751.16,0.00%,46582.57,9028.02,14.31,3076.77%
1690.89,236.74,10812.06,78.00%,7265.66,293.95,25200.3,666.26%,19012.41,3211.42,6.84,1905.10%
3339.33,439.97,10808.89,76.00%,13417.2,606.42,37630.41,605.45%,37481.26,6321.66,9.8,1870.68%
4971.89,651.25,10815.62,77.00%,19469.59,936.16,49679.79,592.34%,55697.42,9545.94,12.72,1880.60%
1643.65,229.14,10815.07,76.00%,6632.39,189.85,31177.71,609.25%,19043.77,3211.18,15.52,1936.49%
3273.83,431.23,10807.32,75.00%,12206.76,401.22,47359.21,554.15%,37524.74,6321.17,25.96,1910.91%
4901.15,641.19,10811.98,77.00%,17657.47,625.82,30218.39,539.14%,55748.9,9545.47,30.05,1917.93%
1646.45,229.75,10813.10,73.00%,6744.97,207.28,36451.1,609.60%,19047.42,3211.36,20.15,1903.88%
3275.83,431.24,10811.25,74.00%,12430.11,436.63,46379.39,558.80%,37533.51,6321.39,37.38,1889.29%
4896.78,641.64,10809.04,76.00%,17962.17,675.5,42203.94,545.04%,55760.81,9545.6,46.27,1902.41%
6275.95,1063.71,10806.65,223.00%,8629.04,775.24,6696.79,344.05%,19519.25,3215.24,14.05,904.46%
12218.53,1930.03,10811.83,223.00%,16181.22,1467.88,9744.21,327.34%,38460.07,6325.58,17.67,915.71%
18191.26,2786.20,10811.91,239.00%,23555.4,2185.96,12391.69,338.44%,56996.25,9547.83,25.36,960.87%
6002.48,1027.01,10811.06,214.00%,8068.62,706.93,38267.95,321.72%,19461.32,3216.37,27.68,917.19%
11738.97,1871.23,10801.86,224.00%,15110.21,1314.32,30071.9,317.28%,38342.8,6327.21,51.7,958.85%
17561.68,2720.56,10804.93,243.00%,21866.83,1919.71,38733.54,327.02%,56843.74,9550.53,72.01,1010.05%
6028.92,1033.08,10807.62,202.00%,8125.81,723.59,25855.58,306.38%,19476.23,3216.57,33.34,874.03%
11776.55,1881.90,10808.76,216.00%,15237.02,1352.9,45690.74,309.30%,38355.39,6327.42,72.91,930.31%
17588.52,2741.80,10807.99,239.00%,22006.18,1975.57,57731.73,323.82%,56852.46,9551.04,101.32,994.94%
